user_id,timestamp,stage,device,source
1,2025-12-22 16:12:55.990464,Homepage,Desktop,Organic
1,2025-12-22 16:15:55.990464,Product_Page,Desktop,Organic
2,2025-12-26 01:36:55.990464,Homepage,Desktop,Paid_Ads
2,2025-12-26 01:40:55.990464,Product_Page,Desktop,Paid_Ads
3,2025-12-22 11:56:55.990464,Homepage,Mobile,Paid_Ads
4,2025-12-28 05:50:55.990464,Homepage,Tablet,Social_Media
4,2025-12-28 05:55:55.990464,Product_Page,Tablet,Social_Media
4,2025-12-28 05:57:55.990464,Cart,Tablet,Social_Media
5,2025-12-25 16:32:55.990464,Homepage,Mobile,Paid_Ads
5,2025-12-25 16:34:55.990464,Product_Page,Mobile,Paid_Ads
5,2025-12-25 16:36:55.990464,Cart,Mobile,Paid_Ads
5,2025-12-25 16:37:55.990464,Checkout,Mobile,Paid_Ads
5,2025-12-25 16:38:55.990464,Purchase,Mobile,Paid_Ads
6,2025-12-27 21:12:55.990464,Homepage,Tablet,Organic
6,2025-12-27 21:14:55.990464,Product_Page,Tablet,Organic
7,2025-12-22 15:22:55.990464,Homepage,Mobile,Organic
7,2025-12-22 15:23:55.990464,Product_Page,Mobile,Organic
8,2025-12-25 17:04:55.990464,Homepage,Mobile,Email
8,2025-12-25 17:07:55.990464,Product_Page,Mobile,Email
9,2025-12-23 12:11:55.990464,Homepage,Desktop,Paid_Ads
9,2025-12-23 12:14:55.990464,Product_Page,Desktop,Paid_Ads
10,2025-12-24 11:05:55.990464,Homepage,Desktop,Paid_Ads
10,2025-12-24 11:08:55.990464,Product_Page,Desktop,Paid_Ads
11,2025-12-23 19:20:55.990464,Homepage,Desktop,Organic
11,2025-12-23 19:25:55.990464,Product_Page,Desktop,Organic
12,2025-12-22 22:29:55.990464,Homepage,Tablet,Social_Media
12,2025-12-22 22:33:55.990464,Product_Page,Tablet,Social_Media
12,2025-12-22 22:41:55.990464,Cart,Tablet,Social_Media
12,2025-12-22 22:45:55.990464,Checkout,Tablet,Social_Media
12,2025-12-22 22:48:55.990464,Purchase,Tablet,Social_Media
13,2025-12-23 12:03:55.990464,Homepage,Mobile,Social_Media
13,2025-12-23 12:08:55.990464,Product_Page,Mobile,Social_Media
